fvalue	x	y	z
-1.77348470724e-06	3.575	-0.00625	-0.00625
-1.52520721978e-06	3.5875	-0.00625	-0.00625
-1.3158986197e-06	3.6	-0.00625	-0.00625
-1.13875392079e-06	3.6125	-0.00625	-0.00625
-9.88373708803e-07	3.625	-0.00625	-0.00625
-8.60246274215e-07	3.6375	-0.00625	-0.00625
-7.50765731065e-07	3.65	-0.00625	-0.00625
-6.56936312756e-07	3.6625	-0.00625	-0.00625
-5.76261764233e-07	3.675	-0.00625	-0.00625
-5.06727578416e-07	3.6875	-0.00625	-0.00625
-4.46597425707e-07	3.7	-0.00625	-0.00625
-3.94505169273e-07	3.7125	-0.00625	-0.00625
-3.49241583801e-07	3.725	-0.00625	-0.00625
-3.09803738219e-07	3.7375	-0.00625	-0.00625
-2.7537948218e-07	3.75	-0.00625	-0.00625
-2.45269167939e-07	3.7625	-0.00625	-0.00625
-2.18843254629e-07	3.775	-0.00625	-0.00625
-1.95646876477e-07	3.7875	-0.00625	-0.00625
-1.75197574966e-07	3.8	-0.00625	-0.00625
-1.57177026949e-07	3.8125	-0.00625	-0.00625
-1.41225697803e-07	3.825	-0.00625	-0.00625
-1.27098331859e-07	3.8375	-0.00625	-0.00625
-1.14575963532e-07	3.85	-0.00625	-0.00625
-1.03429324364e-07	3.8625	-0.00625	-0.00625
-9.35154768437e-08	3.875	-0.00625	-0.00625
-8.4670640869e-08	3.8875	-0.00625	-0.00625
-7.6763958153e-08	3.9	-0.00625	-0.00625
-6.97011633595e-08	3.9125	-0.00625	-0.00625
-6.33498586922e-08	3.925	-0.00625	-0.00625
-5.76730959286e-08	3.9375	-0.00625	-0.00625
-5.2571872781e-08	3.95	-0.00625	-0.00625
-4.79609241211e-08	3.9625	-0.00625	-0.00625
-4.38239074659e-08	3.975	-0.00625	-0.00625
-4.00738997541e-08	3.9875	-0.00625	-0.00625
-3.67043876774e-08	4.0	-0.00625	-0.00625
-3.36284481743e-08	4.0125	-0.00625	-0.00625
-3.08771082776e-08	4.025	-0.00625	-0.00625
-2.83558658036e-08	4.0375	-0.00625	-0.00625
-2.60730104173e-08	4.05	-0.00625	-0.00625
-2.40014230712e-08	4.0625	-0.00625	-0.00625
-2.21157610743e-08	4.075	-0.00625	-0.00625
-2.03902080405e-08	4.0875	-0.00625	-0.00625
-1.8822987613e-08	4.1	-0.00625	-0.00625
-1.73956256807e-08	4.1125	-0.00625	-0.00625
-1.60814768909e-08	4.125	-0.00625	-0.00625
-1.48887124851e-08	4.1375	-0.00625	-0.00625
-1.37845290737e-08	4.15	-0.00625	-0.00625
-1.27789926789e-08	4.1625	-0.00625	-0.00625
-1.18609714643e-08	4.175	-0.00625	-0.00625
-1.10138860994e-08	4.1875	-0.00625	-0.00625
-1.02348944135e-08	4.2	-0.00625	-0.00625
-9.52008842129e-09	4.2125	-0.00625	-0.00625
-8.86011264356e-09	4.225	-0.00625	-0.00625
-8.25224333312e-09	4.2375	-0.00625	-0.00625
-7.68996718155e-09	4.25	-0.00625	-0.00625
-7.17648163118e-09	4.2625	-0.00625	-0.00625
-6.68431236287e-09	4.275	-0.00625	-0.00625
-6.25277607469e-09	4.2875	-0.00625	-0.00625
-5.83947705006e-09	4.3	-0.00625	-0.00625
-5.46253412873e-09	4.3125	-0.00625	-0.00625
-5.1111707459e-09	4.325	-0.00625	-0.00625
-4.78882119144e-09	4.3375	-0.00625	-0.00625
-4.47831401592e-09	4.35	-0.00625	-0.00625
-4.21257103274e-09	4.3625	-0.00625	-0.00625
-3.94173582663e-09	4.375	-0.00625	-0.00625
-3.70832253793e-09	4.3875	-0.00625	-0.00625
-3.47431713029e-09	4.4	-0.00625	-0.00625
-3.26032534304e-09	4.4125	-0.00625	-0.00625
-3.07759743616e-09	4.425	-0.00625	-0.00625
-2.89558007201e-09	4.4375	-0.00625	-0.00625
-2.72445769648e-09	4.45	-0.00625	-0.00625
-2.56174340999e-09	4.4625	-0.00625	-0.00625
